Wheat,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Yields (1),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022(1),2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,8.049731928377353,8.007481931451434,7.082651724801004,8.002810242270582,7.779794764495382,7.773585364519262,7.960055170892607,8.03864910059748,7.234262738177594,8.281402712725113,7.928408166796073,7.674614946407319,7.747140322666861,6.65735855655444,7.383846462514578,8.57865036450464,8.974580086118658,7.8884370701866695,8.280339577079515,7.755935639187829,8.935340611677379,6.962318260153343,7.812622033977193,8.570540370269171,8.128320735690457,7.281128226059114,[x],[x],[x]
England,8.078116294660068,7.971248256256413,7.056082722933903,8.034920109587823,7.761148328042605,7.73138806048043,7.935088100799806,8.030033543847832,7.185733197462513,8.296185486081274,7.934119488753339,7.644622751352281,7.729130627955216,6.6710479855579425,7.384931166983739,8.565014782376094,8.969397537702253,7.863859478599444,8.305651708348249,7.828848895404027,8.967438432872681,6.8550700431217955,7.773010493275523,8.553598542301154,8.075720227495507,7.21330729679229,6.9568740358088,-3.5550025866432113,0.130445587179705
North East,7.378585035081908,7.698877344213217,6.8486506649686785,8.114559253079733,8.114459704933708,7.697432153592448,8.323844392582192,8.458459047318454,7.727986866149224,8.076717359358986,7.109050808600025,7.877865595232495,8.064549336285582,6.3494724662739355,6.538689291517868,8.068035555371598,9.009547238107425,7.577990688868865,8.223484786649237,7.804698587724865,9.102881655974295,7.185016589337687,8.423273929170563,8.676215191552455,8.417642934787022,6.273811990678805,7.7592011695153,23.676023142602602,0.531111145039102
North West and Merseyside,6.6806004425880765,7.141681250737819,5.198913145835771,6.738796289029438,7.123668673629778,6.855834837293815,5.279701712516934,6.196156680639932,5.224658984666854,6.032381241937287,5.0369669770472605,5.977073757128209,6.5340465048667085,5.015479287887796,5.337092011865831,5.448743489790579,6.824754809108911,5.857957564284207,5.749234495233663,5.26998150268815,6.359008727685937,5.153112225095534,6.7967167754587585,6.152410846249982,5.787312815696408,5.957165624213713,5.98117832090042,0.40308929114046393,1.59265501572384
Yorkshire & The Humber,8.222420562975437,8.281501502733287,7.63535600718103,8.512117081550869,8.16935378014759,7.614914557029262,8.062408844498297,8.190865303134672,7.342275985267647,8.391483994914864,8.136784071261637,7.783561088687476,8.13865819518453,6.895421817189461,7.366159882930015,8.436601862771072,9.419210257348258,7.769318359259636,8.545773630553253,7.85444642004743,8.995214117972695,6.6706772168304855,8.313824826099884,8.844958168641707,8.413377321023493,7.290984783588485,7.61397447308872,4.4299871565672,0.397932482667605
East Midlands,8.39406864441981,8.193406726538567,6.9657105254805645,8.204224770177513,7.532085359921189,7.723530245431037,8.109886705357713,8.293674298095251,7.063519955350341,8.756325804275054,8.160059881885507,7.856338836871694,7.983996921943282,6.392274006344423,7.703701097433508,8.476864261743442,9.37887067070492,8.102696806469881,8.498382585927622,7.924817246940581,8.912861309473413,6.012226825293899,7.627967560701486,8.812816689036964,7.908383792564665,6.98941757060811,6.86500829625542,-1.77996625750121,0.302365086477235
West Midlands,7.614781433043747,7.531193650012259,6.382034807618539,7.510309045889279,7.688133867387505,7.592571930433897,7.52572970837187,7.250261265591339,7.02808358123464,7.821008034570792,7.402350363500011,7.247379176216072,7.474504299046886,6.298306722861341,6.682772377142469,8.206094850124316,8.511345923473348,7.383352038112874,7.774827180833706,7.0680929204190575,8.681728045059131,5.904370017939433,7.079157924643724,8.45493501852038,7.802329521210037,6.630688963547774,6.2615971509561,-5.5664172248276795,0.356649673524919
Eastern,8.444320614272172,8.193406726538567,7.315033210776293,8.190280576797935,7.870428065523414,7.891203704661928,8.137086493153802,8.297984320759896,7.50881393431332,8.686284263377653,8.02357622893263,7.660376263277137,7.205843058068371,7.257717553408048,7.884715019684682,9.158420680712673,8.984403920565935,8.198300889657375,8.569821095220378,8.124091938382234,9.338649926306571,7.360905932212823,8.090751179818167,8.31012456442712,8.361655271989697,7.712212392150247,7.12990558850671,-7.55045081792913,0.233040637564119
South East and London,7.871492677510456,7.787161023848752,6.878647514019275,7.952980986315725,7.738075977941883,7.808197427263147,7.954819039618801,8.03468114594943,7.172091206945138,8.26988430028856,8.246859860063962,7.838491317972948,8.047130821934958,7.05336996674565,7.278388361383401,8.794674434607593,9.111535645526672,7.98615868998037,8.422920341984758,8.068817278206467,9.273555044696776,7.436440122216222,7.355010785763159,8.741792098808846,8.146760279815897,7.408672460959149,6.96957697714348,-5.92677684334857,0.32499627043982
South West,7.356648603333036,7.3760640373064215,6.822345859352623,7.367568990904946,7.4408388633544895,7.666550834752634,7.529790552016931,7.407044504392659,6.6333729654445435,7.1499699332219695,7.851052659721175,7.32437768299423,8.042414213770243,5.561962817239893,6.794073648610298,8.09324003663567,8.117020548019212,7.435125312810072,7.820697047612869,7.7838549293442565,8.392003216454315,7.342997701801342,7.614745319243116,8.600289022637119,7.616180095885279,7.032060739939462,6.22415753734237,-11.488854156342999,0.435550758564158
Wales,6.144356022855124,7.359336734408917,6.333858408288818,7.328484597824782,7.450111637840636,7.48242749890874,7.086333484303225,6.4279406534872905,6.593075183016638,6.79,7.11,7.058247799087271,7.485801857477948,5.783590416061059,6.536975506078959,7.61302976440477,8.07983558839692,7.3205210727382575,7.375899563479761,6.867212741789065,8.124386913970074,6.263087002345765,7.351735561975525,7.920334202041419,7.297253209126506,6.603150334696913,[x],[x],[x]
Scotland,7.8,8.78422059963066,7.740158073014678,7.60002880895547,8.25261148826259,8.615984019935526,8.603964642502223,8.477593523339452,8.1,8.3,8.1,8.241926470399926,8.086945918202108,6.690246061847844,7.518817913125987,9.074670880837068,9.302299366211223,8.45,8.1223841756554,6.824681503958678,8.716668921777671,8.570030423313552,8.511362512149633,9.08,9.193533445286178,8.422867976525866,[x],[x],[x]
Northern Ireland,6.76,7.26,6.225,6.511962185396597,7.176534937782032,7.5399583043780405,7.370048768883073,7.577032900244259,7.4060252926991605,7.92,7.23,8.182289278694041,7.768897565766551,5.982546145470647,7.316422085544673,7.539461235674734,8.022264414353668,6.96849679300475,7.695246567511116,6.966,7.530766048313612,7.010983763132761,8.224719544034887,7.38,6.64912375796399,7.1,[x],[x],[x]
tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production (2),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022(1),2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,14866477.90575386,16703525.55261717,11580107.239442743,15972556.073912242,14281851.596864117,15467678.855287336,14863238.408610277,14734581.851885533,13136565.241966395,17227050.663497053,14075595.656851346,14877834.866654202,15257082.943072813,13260626.71335878,11921304.187556121,16606008.518570127,16444228.991571002,14383276.02623705,14836963.305993637,13554842.641398637,16224510.734281765,9657885.044823803,13987677.473367088,15539652.47471616,13979847.787459714,11145741.151681224,[x],[x],[x]
England,14106021.16494809,15597807.781039914,10870276.463146716,15074739.468532238,13399583.783027492,14415876.627728917,13873819.637040777,13723665.501180796,12150959.788414191,16050693.663497053,13115790.656851346,13698399.516201766,14040429.590069287,12382992.703914324,11111153.168801565,15389019.00989578,15184642.897811033,13240513.889099913,13722124.330875631,12673896.440151611,15036896.689709198,8672424.72320287,12863298.555975385,14267077.33181372,12756553.03431594,10112667.3115088,10610184.8830558,4.919746257061141,246522.069279959
North East,469004.38208099926,587445.8982200322,371436.56881457625,569502.6587332174,536469.3123715824,544834.4743625245,566492.4044105588,557515.0360693729,506531.639127405,618709.9476706559,447805.4431761759,527409.5146460234,545019.3620066374,445943.8797181635,358392.6876239598,547567.405036751,580109.8874414937,512269.91922734753,560298.2467409992,536005.0465076985,641915.5522608791,380777.5846977528,549063.7514649262,582827.2318364303,536833.4747419348,356520.011161771,479959.695948353,34.6234940317476,41836.4298963263
North West and Merseyside,156849.34245728896,203449.3587985187,86863.44084062407,182078.43366552054,202164.1750924449,243116.53077470057,165441.9446951938,190514.614096181,156716.51025893714,217092.12448550767,149370.59535796582,206269.9031859183,229616.02612897626,183935.31619272116,152512.33152222235,193525.91001567603,245979.00593482083,218584.5234789182,213524.96268014243,177814.03870234994,229236.20907050572,120263.28272533501,211101.2630888919,207982.885759986,183926.22837459866,154811.089360487,173908.316390565,12.335826269918499,52212.1060682796
Yorkshire & The Humber,1920680.8516635178,2136192.6088762945,1518427.978436077,2101088.149122264,1901441.6674529202,1910823.6038465323,1902975.338402707,1875633.012418829,1662601.2477043841,2195256.7271088706,1808718.4064677283,1878763.6854842063,2020061.5588848256,1760541.0697521197,1529063.4055245398,2112912.954724431,2230632.3162281914,1825486.7360630257,2015671.316953321,1807958.3943044182,2142153.802571509,1151008.8307813224,1873698.23674967,2032732.4728750798,1853994.9063036207,1400866.40928681,1624746.98862758,15.9815795322515,99005.5711228052
East Midlands,3037244.626747909,3287229.1909955246,2220327.1957074553,3171451.6344521507,2653614.5848017824,2973929.1291781613,2823204.7304104767,2870937.7451082743,2427417.470715677,3427531.5618096567,2732507.615788067,2851008.327666416,2941997.9417771283,2406813.5827729474,2365059.2762851785,3066924.282633078,3186711.0037425607,2714721.227600263,2717440.128337106,2518507.841846314,2945101.742969635,1366741.838007071,2569606.5967961075,2933953.901015061,2474435.517078284,1882892.22638821,2046522.66535106,8.69037731791629,119766.567716924
West Midlands,1141734.0113859468,1256895.217518481,809822.7787735241,1221096.9404659704,1155692.7828980286,1268970.0495474199,1184112.499263973,1117131.0613089455,1075005.0713590812,1395002.3275203577,1120871.167811344,1240289.4148522022,1301393.545184184,1119568.3276908584,934883.8854461455,1408143.9690792968,1355175.5111996825,1207135.5419767788,1259592.6572230852,1137405.7258990125,1448803.119982535,665384.6354759062,1163652.015347267,1385669.7177436673,1197050.8789060018,901178.23749566,933418.566989179,3.5775752400672003,63971.5721419927
Eastern,4136485.1675032685,4463411.571425607,3305202.660857528,4334861.820821179,3795230.4084012527,4048943.947995956,3963822.160683801,3939858.9421674227,3536966.165298149,4660685.832443196,3726788.4771217345,3846132.2610722245,3636776.280071878,3725792.184136542,3373047.059604902,4583058.40304301,4257616.654248566,3832822.697074147,3905794.1641982426,3601117.548882121,4266691.035422009,2832785.7092315457,3695941.9413508032,3846867.753566492,3684201.397736775,3063751.5513234,3042998.38024145,-0.677377742101379,120688.195502644
South East and London,1912726.5228445164,2160530.6943125837,1424526.6282683078,2065468.8600343629,1859826.7479393168,1960852.2777349842,1913612.4593889432,1886724.3458292861,1643510.1288743357,2135846.027027625,1840328.4202921365,1888838.0516520871,1953529.7474677782,1744864.4630847813,1436799.2460534323,2082537.7059520003,2026354.2411112776,1747053.5524024449,1804177.15455638,1686124.213345863,2013964.4960871805,1269906.1928871095,1608455.0010503875,1910887.7312645894,1670371.3945659117,1400893.66159703,1400979.32689959,0.00611504676659614,81545.4281800577
South West,1331296.2602646472,1502653.2408928717,1133669.2114486254,1429190.971237574,1295144.1040701661,1464406.6142886393,1354158.0997851253,1285350.744182485,1142211.5550762236,1400569.1154311812,1289400.5308361931,1259688.3576426902,1412035.1285478764,995533.8805661914,961395.2767411843,1394348.3794115372,1302064.2779044402,1182439.6912769882,1245625.7001863548,1208963.630663835,1349030.7313449443,885556.6493968262,1191779.7501273348,1366155.6377524142,1155739.2366088117,951754.124895453,907650.942608065,-4.633884018336451,77151.0451757303
Wales,79084.6208057706,113046.77157725536,67265.57629602726,112038.60538000506,107698.81383662423,115402.22755841938,104962.77156949937,99787.3507047367,85637.45355220311,133023,139676,171847.15916437778,193455.5774028026,148140.88491698797,98924.0503334929,163573.5575180009,176423.21007264673,156732.3561673261,158349.4614796558,152307.91140013968,189720.6832150292,134731.5275944621,170729.35495575762,208882.97391043833,180979.17683954648,150162.2417613425,[x],[x],[x]
Scotland,659388.6,956432,616968,738662,722087,871300,822496,845055,832094,947504,746970,918445.422512398,933334.1605677457,673288.3,652932.6438122779,989347.1174678294,1019181.3138506439,925992,889308.472054664,680955.3232468853,936864.7863786091,801620.8490264717,890040.157212747,1000082.7637688048,985236.0439042276,825905.4144110809,[x],[x],[x]
Northern Ireland,21983.52,36239,25597.199999999997,47116,52482,65100,61960,66074,67874,95830,73159,89142.76877566011,89863.61503297827,56204.82452746763,58294.32460878574,64068.83368851675,63981.56983667768,60037.7809698117,67181.04158368555,47682.96660000001,61028.57497892867,49107.945,63609.40522319773,63609.40522319773,57079.532400000004,57006.183999999994,[x],[x],[x]
%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisture content (2) (3),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
England,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.597253460484685,15.063388191817488,14.970533763605397,14.284726852030634,-4.58104515446214,0.05614326280759294
North East,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],14.617919889172546,15.379451495912642,16.076943826165238,15.059216333681485,-6.330354223340633,0.3072910089436448
North West and Merseyside,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],14.141842946896766,15.65498540139043,16.064561619378498,15.23936407870012,-5.136757293662788,0.9510349284691393
Yorkshire & The Humber,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.96425863235713,15.188542097419235,15.255646663400443,14.477911301390678,-5.098016355318557,0.11107349919214257
East Midlands,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.726212866670153,15.162210863923576,15.142250388886946,14.39179959485812,-4.956005710878941,0.10354834890092926
West Midlands,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.468313182441777,15.338420923087934,15.416073333374372,14.333870597477544,-7.019963595748859,0.21162691189879876
Eastern,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.195300461779697,14.771139222217348,14.5051432538839,13.934369541482921,-3.9349746666455547,0.10853198663641427
South East and London,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.463761068632017,14.973548906392574,14.663692177841646,14.361970133376087,-2.057613054108522,0.12295214713677603
South West,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.815051755157624,15.15999847295465,15.195099885887965,14.252051242732723,-6.206268140633106,0.168167477496727
Wales,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Scotland,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Northern Ireland,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Data notes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1) Regional areas for 2010 onwards have been replaced with the final regional breakdowns from the June Survey of Agriculture. Regional yields have been recalculated as a result, although any changes are very minor. National areas, national yields and all production figures remain unchanged. See metadata tab for further details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2) In all years prior to 2022, production standardised to 14.5% moisture content for cereals. From 2022 production only adjusted for farms that reported moisture content for cereals above 14.5%. See metadata tab for further details",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3) Moisture content data for Scotland, Wales and Northern Ireland are not available and as a result UK figures cannot be calculated. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[x] indicates where data is unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
