Winter Barley,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Yields (1),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022(1),2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,6.033159605540061,6.314727898052064,5.779093378896839,6.287052342354652,6.256484215075487,6.407639499329186,6.519006520346494,6.728522217348252,6.104579612800481,6.729827238262349,6.393271467260934,6.38036801262698,6.133113191681008,6.3835627902231655,6.399528267696028,7.210838852312675,7.659473804286039,6.424654371160932,6.972172514048729,6.782565794392719,7.8427256621172585,6.150252138784125,6.771387826633452,7.382786588024016,7.048707235253517,6.356864445023321,[x],[x],[x]
England,5.980522422062223,6.200885645358932,5.717883060296895,6.254216395316008,6.1712377855319644,6.275348138173516,6.3917430408381595,6.59001609902039,5.9174372757742315,6.632858079216739,6.309569046031449,6.269346409301313,5.959335739782216,6.395922350228575,6.3615412645993565,7.136705790332297,7.6422226149753865,6.368664415079331,6.92515174784592,6.754264442804086,7.802318971159367,5.971212024473329,6.63633046074938,7.3344769389976605,7.016647624206239,6.19810356611759,6.52756379511214,5.315500547547644,0.240415355740164
North East,5.93402408382973,6.280043157145117,5.112442435012805,6.564510410933715,6.416262253735502,6.641975058706022,6.740354258017647,6.934335812928682,6.594095315103475,6.681585068804799,6.058572995231925,6.2193184393617695,6.400988563143965,5.8336734791337586,5.772678008576493,6.887715001129918,7.597250854778728,6.805671543475273,6.7490258547041995,7.094037574341224,8.737513986807956,5.659354970049738,6.932638450827471,7.60865191424317,7.1880265111487,5.532804958112622,6.83517928967392,23.5391332501548,0.680624067243214
North West and Merseyside,5.191551460662553,5.802509292444571,4.4169016934471514,5.527603402731567,5.632103111371274,5.604483938615215,5.310178038853023,5.629566809181778,5.475816734650456,5.7373315045220155,5.548392877781566,5.656057437265813,6.043238973216592,5.476334382161401,5.893655052167508,5.322512064653114,6.813566240652362,6.177723692426315,6.5802678128138385,6.0866537928883275,6.172348984036199,4.807238219405827,7.308805891939815,6.717339958258242,6.206260141061414,5.338895979574084,5.48062780448557,2.6547028721618,1.08521184802366
Yorkshire & The Humber,6.487566291223689,6.511900545799353,6.163212740095526,6.672866888330169,6.55583360795601,6.704298863437153,6.737761069919307,6.877865171780384,6.305640289413158,6.862732104999751,6.915889373457841,6.4138169830626595,6.725622805859274,6.8282419415489155,6.671830265780505,7.576080111331508,8.456576286772632,7.243462188888191,7.407131350756164,7.369054686245038,8.245169658600721,6.241674491581399,6.948791088063611,7.654468444317589,7.281639517812747,6.357764856262181,6.84697674425239,7.69471503036718,0.521019764033089
East Midlands,6.254259997276127,6.348511336573754,5.774978704611747,6.2794155170802455,6.048857696962796,6.408223960730652,6.6211109857952275,6.75088337211035,6.007157199404581,7.029618881299002,6.080696523555232,6.122273138188945,5.777405409256634,6.443215970511235,6.44453785583925,7.057655566281622,7.8148639380553435,6.0670390359099,6.908553726512735,6.284653103637652,7.273715311456151,5.46701965043474,5.769679335263889,7.489603825203801,6.8498248283858425,6.072526796788144,7.23944414650612,19.216339240119602,0.669308001898502
West Midlands,5.43768251582446,5.76159991307221,5.19811282866016,6.2323434258337285,5.759927985795113,5.881895334167615,6.017496067868372,6.490982771956974,5.505458389404099,6.11285590013914,5.974478857033197,6.476449693543572,6.073885232219162,6.008659413608044,6.707780461798647,6.703850606451787,7.7448013887154925,6.22137950128945,6.745447355452191,6.626574425236152,7.691694814801086,4.871462666970393,6.4604691730137445,6.622195085548903,6.719236165089119,5.584857871407833,5.91687157467193,5.94489082638728,0.682174488007212
Eastern,6.077430291424039,6.435622573838354,5.937798610525699,6.209739477336138,6.323398545888995,6.098081471250631,6.322846399960872,6.514624568850413,5.88574903490887,6.784876712557598,6.136330499063987,6.123478112075021,4.686494219145521,6.861627159217974,6.452759093001395,7.541440453039567,7.252720509826047,6.13656400332959,6.934954390433169,6.758592118507628,7.65705304241383,6.227990986209286,6.849451085597127,7.089454661289931,7.178117781217162,6.6487362772168135,6.561613623543,-1.31036410591825,0.569302761162817
South East and London,5.9152809945995,6.056842278762194,5.775862233515341,6.168283674874595,6.119490329534679,6.408037086811478,6.649527283010566,6.579545436063856,5.412808803990213,6.643879328473167,6.604439024333351,6.682130445462919,6.3991192554147105,6.5496971410793146,5.487728949844891,7.122252119109445,7.5465830133591965,5.707379716749648,6.496255409981647,6.876428254959961,7.852708703873867,6.331531441246255,6.220792189360296,7.650430712686122,6.813934912847323,5.9307229181839904,5.83737120200747,-1.5740360401983,0.750866785754869
South West,5.634773557620753,5.749711739516157,5.327800804173505,5.884556763963831,5.848812685386088,6.064271136102521,6.011319302419455,6.306599307740773,5.551059365736445,6.21204428848662,6.3182872622971304,6.278784122192448,6.500759844169891,5.608828552228268,6.42055745212009,6.867379123035153,7.145584182739726,6.233213730474927,6.872709983262545,6.260035197411235,8.030876745775407,6.323161834460394,6.836721008284363,7.470465008362717,7.02977299944314,6.393525422289642,6.19473844534771,-3.10919193734495,0.583135719431625
Wales,5.655254021091174,5.405166656413467,5.470922320485085,5.690757634936142,5.648805602393422,6.345146322242733,6.001048304749658,5.525368816013887,5.521668019587575,6.06,6.02,6.150428846512019,6.261519129233619,5.685355414969117,6.306011811891453,6.49091280846432,7.218259385010154,6.184044619069914,6.596339533924032,6.149508416462405,7.601641390049663,6.0184072299258675,6.85684382993291,7.032974040552246,6.57700415757915,5.830096346848655,[x],[x],[x]
Scotland,6.56,7.373127203765931,6.226001443522194,6.700003266159324,6.9972146848999985,7.20081867319321,7.430069584476047,7.718704661284923,7.31,7.4,7.1,7.024440152586858,7.098693810650202,6.458074476135312,6.570198612809183,7.823053962903286,7.83991829691216,6.84,7.411442537986009,7.1420199266696525,8.17064129697429,7.294037086023243,7.691867273441567,7.93,7.508878733068764,7.648717262855437,[x],[x],[x]
Northern Ireland,5.68,6.87,6.316,5.37394497284341,5.5989317795581455,6.9099358265102895,6.029910269192423,6.68601996216322,6.18,6.95,6.7,7.315979848337871,7.137512948214996,6.120998143903935,6.957181452364617,7.139096965537472,7.686625734375949,6.79248379239658,6.812222307753964,6.9307,8.057348892416746,5.768254285561585,7.538267275248477,6.96,6.497048304885946,6.51,[x],[x],[x]
tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production (2),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022(1),2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,3306439.611635279,3718891.1500902334,2671807.7882117233,3430683.513035768,2847801.4590749424,2693987.1524141873,2504826.361246031,2608000.215870792,2337649.861937171,2802381.8476138785,2577889.1606913623,2440689.808350341,2199802.167620282,2455998.9503449923,1982736.2144446215,3093616.2940408066,3382166.273806079,2823257.1840791395,2948161.4365231995,2622645.4407408815,3550502.921547011,1916274.2200274358,2741685.0258756024,3211915.930388946,3204192.7355787093,2442481.804895875,[x],[x],[x]
England,2832045.3508929624,3167902.87770389,2275448.7174943304,2939475.4499435304,2383393.745144128,2202164.388821779,2053742.7151751956,2123685.514690935,1886650.6028049549,2294327.8476138785,2186887.1606913623,2009168.7732456534,1777395.6963480227,2102953.7308113086,1634273.5904081382,2592244.2343405406,2872038.965531973,2392388.7876200825,2499100.2874275427,2267095.8772849627,3026659.9706541994,1512382.6330580853,2290994.001659901,2726393.7711950275,2743389.9380550208,2017321.56007857,1972264.41244974,-2.2335134130562184,92951.4727189407
North East,156326.757938286,207715.56744415333,126834.58437023268,200529.56045084205,167845.78802934327,166038.01240699177,165932.13727037626,175348.21916947665,168224.58866790292,185327.76862559194,162241.3908627364,170184.86506058116,160620.23863474984,160283.51864643535,121991.78756704637,202676.2151794664,226081.0886858461,195651.46434066416,195931.30779344955,195426.58403660593,256963.8839330412,115558.3693519558,170262.1622859561,198206.31372913512,188197.78187467525,120701.541087128,139389.049727708,15.482410971944798,16900.4439639464
North West and Merseyside,104744.12578497874,120610.95815275286,30132.103352696467,96741.95685009842,81054.36127216433,87091.65305687397,74291.5944555788,81897.5819743669,77410.25718126475,94359.22370973066,83396.8596803416,83992.34491270027,84349.02686137569,81598.60975048353,62980.60006724998,85868.04513049177,116024.19693930689,101201.49224393551,100952.73199220211,76092.99418016896,102247.28694511217,47929.23010259086,101573.18986233318,102288.92364179995,95667.77577817571,65845.1331658724,66774.3330049922,1.41118985480525,16489.6721033439
Yorkshire & The Humber,522719.6339406499,580898.6465184133,436423.2573389043,556904.8179770383,461147.9852535139,444175.36210337846,432156.96619889094,455823.8934066402,427425.124744931,504676.8775594692,518666.38601310865,463229.29411436955,443862.8291169975,490417.521297273,368318.4484632226,583011.5560367886,667566.5092702428,514601.9112648701,511198.79081403813,472375.1070837548,594176.6461395384,281259.35458600894,424425.1314038947,499549.0925990707,509879.75615190994,376174.433451865,393242.517776559,4.53727919999058,37721.2309860111
East Midlands,417619.17098457774,472416.21804639837,357199.7578163504,430146.6487392876,346426.0367184223,306605.24319974135,282548.5591842037,284819.25491700525,256295.09422712406,322440.9301050876,277555.29911603866,252331.33631694512,220730.2316575679,264191.47615805286,207244.1391593796,327617.10439650196,377071.75875381916,299295.1657618949,308874.4501992308,264364.54087097425,380329.4868372077,132564.77450726932,281332.6523305791,420495.5064910394,405529.89851969224,289632.657209579,326200.004133499,12.625422587432599,41632.1268426848
West Midlands,270887.84993299923,301650.8680888608,173409.04396410295,284255.2677426543,212620.0703852965,189427.964406446,180388.90026658098,190358.06454449188,162627.29461007233,191212.80331577687,191927.14006828406,189182.37450255294,163552.03711891477,176674.09714157338,151032.3010638537,225690.3731735517,271951.20728723356,218285.78022279567,216482.50702740758,200922.60992828364,265678.39901784505,98619.44027232061,191804.1992498784,210430.2782781265,225708.41575845453,149494.423227163,146609.820530652,-1.9295721099424,22097.3849535292
Eastern,691484.7723440496,780314.0885798413,646929.0964153855,718514.9675837512,598601.9947080301,522117.17521577276,492105.4628402074,511338.6811936604,445077.43388368876,552996.7907264689,507002.73988853814,444965.93554428354,325389.5413234809,527699.2712193534,403473.56870237715,634174.4701216005,630464.8945365809,550907.2028919974,628042.7823898091,568203.2792286389,736096.2345711348,450287.48063812684,578276.2952063662,656620.8123892957,719132.6437218062,565592.015881359,502026.527956622,-11.238752694498901,52753.4566830653
South East and London,298402.64474721526,306023.7731871435,230000.6100008144,280194.3426115368,225247.28794190605,203067.64996395883,177641.4890687274,167998.88677907686,129362.74448440291,175497.51199308058,175656.41944993072,166655.525363559,146995.29551896086,171895.5387318657,111554.4329243608,212477.23369257778,239345.53531665707,207835.0212037351,224953.92094173742,222314.0422125227,302165.8374655074,172626.33488666694,230429.3073642649,275449.0767043051,252377.42312027919,185283.67691651,155442.130319457,-16.1058691697382,26471.9996210424
South West,369860.3952202055,398272.75768632704,274520.264235844,372187.8879883216,290450.2208354509,283641.32846861565,248677.60589062993,256100.93270621682,220228.06500556786,267815.9415786728,270440.9256123838,238627.09743066187,231896.4961159752,230193.69786627116,207678.3124606482,320729.2366095617,343533.7747422868,304610.74969018967,312663.79626966803,267396.7197440136,389002.1957448125,213537.64871314605,312891.0639566281,363353.7673622552,346896.24313002755,264597.679139093,242580.02900025,-8.32118037107521,29772.269309781
Wales,61272.98074231655,59916.272386343284,33755.59071739297,59865.06309223774,51957.713930814694,54842.36869240839,45427.935666954916,38594.701179857,37271.25913221613,40902,38264,44768.97157376099,50699.52038940461,43953.48271312624,31315.654657852956,42710.206279695216,49993.66450058033,50288.65084227654,48488.80759833612,47166.72955426665,62736.34639207987,44975.55722923601,58159.74936549095,63782.04157376832,58522.18299413928,52698.240879164994,[x],[x],[x]
Scotland,384278.24,455349,345045,410268,389388,405754.3949000001,381463.71040388,414973,384479,424412,318428,337243.3647012549,322827.120959594,276511.5,280511.1475686233,410764.9379690836,406168.9191427658,328766,352108.148333267,268123.7837416519,398747.5584827619,314305.9662067812,332644.4150740724,361853.2578440117,348097.0508403257,327928.6563381399,[x],[x],[x]
Northern Ireland,28843.039999999997,35723,17558.48,21075,23062,31226,24192,30747,29249,42740,34310,49508.69882967204,48879.82992326076,32580.236820557475,36635.82181000683,47896.91545148745,53964.72463075979,51813.7456167804,48464.19316405403,40259.05016,62359.04601797016,44610.063533333334,59886.859776138495,59886.859776138495,54183.56368922342,44533.3476,[x],[x],[x]
%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moisture content (2) (3),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,% change 2025/2024,2025 confidence interval
United Kingdom,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
England,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.55155538279156,15.03750430634757,14.721938714048278,14.110391740404687,-4.153983965848384,0.08841737837680347
North East,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],14.536548900732297,15.649621486570888,15.757371701089353,15.091879070515395,-4.223373308684153,0.36014439226823736
North West and Merseyside,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],14.311026217341462,15.309166327713104,15.295447283521781,14.175931054032704,-7.319277486544405,0.8782514012975496
Yorkshire & The Humber,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.672721647258294,14.58324424424619,14.961294385026653,14.343051279831089,-4.132283539680263,0.1913564398021741
East Midlands,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.53170438277111,15.179290967202846,14.616949428216913,13.963154394974778,-4.472855546589175,0.2021154969108926
West Midlands,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.580515031371496,15.064378632021908,14.807826691195132,14.081915567427643,-4.902212450927198,0.3673438538446406
Eastern,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.121876017540686,14.471168869880298,14.217226816451213,13.809430987225053,-2.868321892102658,0.14296081319737106
South East and London,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.52656473668804,14.776672418131492,14.623368700837275,14.13142445959076,-3.3640965451301894,0.2707882243192797
South West,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],13.556371855157296,15.029558057003442,14.82023377924748,14.129046182677678,-4.663810347834464,0.2600376590949146
Wales,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Scotland,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Northern Ireland,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Data notes: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(1) Regional areas for 2010 onwards have been replaced with the final regional breakdowns from the June Survey of Agriculture. Regional yields have been recalculated as a result, although any changes are very minor. National areas, national yields and all production figures remain unchanged. See metadata tab for further details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(2) In all years prior to 2022, production standardised to 14.5% moisture content for cereals. From 2022 production only adjusted for farms that reported moisture content for cereals above 14.5%. See metadata tab for further details",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(3) Moisture content data for Scotland, Wales and Northern Ireland are not available and as a result UK figures cannot be calculated. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[x] indicates where data is unavailable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
